Codigo Produto,Descrição,Valor_unitário,Código de Barras,Sku,Fornecedor,Data Emissão,NCM,Marca,Peso,Url Imagem,Largura,Altura,Comprimento,Categoria,GTIN_Válido,Preço Final,Taxas,Lucro,Tipo Taxa,Url_Imagem1.0,Url_Imagem2.0,Url_Imagem3.0,Url Cloudinary
164515,FITA CREPE 18X50 USO GERAL ADERE,3.29,07896193243507,07896193243507,CONSTRUDIGI DISTRIBUIDORA DE MATERIAIS PARA CONSTRUCAO LTDA,2025-10-03 05:12:00,48114110,ADERE,0.071,https://cdn.construdigi.com.br/produtos/164515/164515.jpg,12.0,4.8,12.0,FITA CREPE,True,9.52,5.9,0.33,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692326/imagens_otimizadas_marketplace/img_temp.jpg"
14912,TRINCHA 395X11/2 ATLAS,4.04,07896380103539,07896380103539,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-10-03 05:27:00,96034090,ATLAS,0.037,https://cdn.construja.com.br/produtos/14912/14912.jpg,4.0,4.0,4.0,DIVERSOS - PINTURA,True,10.55,6.11,0.4,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692326/imagens_otimizadas_marketplace/img_temp.jpg"
14914,TRINCHA 395X21/2 ATLAS,6.17,07896380103553,07896380103553,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-10-03 05:27:00,96034090,ATLAS,0.067,https://cdn.construja.com.br/produtos/14914/14914.jpg,1.0,6.5,1.0,DIVERSOS - PINTURA,True,13.48,6.7,0.62,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692327/imagens_otimizadas_marketplace/img_temp.jpg"
14934,BROXA RETANG PVC 18X8 800/2 ATLAS,6.99,07896380131075,07896380131075,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-09-02 05:45:00,96034090,ATLAS,0.204,https://cdn.construja.com.br/produtos/14934/14934.jpg,10.0,8.0,10.0,DIVERSOS - PINTURA,True,14.61,6.92,0.7,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692327/imagens_otimizadas_marketplace/img_temp.jpg"
156143,"BROCA VIDEA SDS PLUS 10,0X210 IRWIN",13.993,07897095032923,07897095032923,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-04-03 05:40:00,82075011,IRWIN,0.085,https://cdn.construja.com.br/produtos/156143/156143.jpg,1.5,1.5,1.5,BROCAS,True,24.24,8.85,1.4,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692328/imagens_otimizadas_marketplace/img_temp.jpg"
117164,CONVERTEDOR FERRUGEM 200ML ARMATEC VEDACIT,9.714,07897321113846,07897321113846,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-10-17 06:00:00,38249941,VEDACIT,0.255,https://cdn.construja.com.br/produtos/117164/117164.jpg,5.0,15.5,5.0,DIVERSOS - PINTURA,True,18.36,7.67,0.97,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692328/imagens_otimizadas_marketplace/img_temp.jpg"
11707,"FITA ADESIVA REPARO ALUM 0,10X10M VEDACIT",26.7083333333,07897321126006,07897321126006,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2021-11-20 23:13:00,68071000,VEDACIT,1.325,https://cdn.construja.com.br/produtos/11707/11707.jpg,15.0,10.0,15.0,FITAS,True,41.72,12.34,2.67,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692329/imagens_otimizadas_marketplace/img_temp.jpg"
13269,TE LLL 11/2 KRONA,7.45,07897801300698,07897801300698,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-10-17 06:00:00,39174090,KRONA,0.146,https://cdn.construja.com.br/produtos/13269/13269.jpg,6.0,9.0,6.0,CONEXÕES ÁGUA,True,15.24,7.05,0.75,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692328/imagens_otimizadas_marketplace/img_temp.jpg"
13256,BUCHA REDUCAO LL 11/2X3/4 LONGA KRONA,3.151,07897801300803,07897801300803,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-03-18 06:51:00,39174090,KRONA,0.037,https://cdn.construja.com.br/produtos/13256/13256.jpg,5.0,5.0,5.0,CONEXÕES ÁGUA,True,9.33,5.87,0.32,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692330/imagens_otimizadas_marketplace/img_temp.jpg"
13296,ENGATE PVC 40 KRONA,3.596,07897801300834,07897801300834,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2022-05-13 05:29:00,39174090,KRONA,0.106,https://cdn.construja.com.br/produtos/13296/13296.jpg,40.0,3.0,40.0,ENGATE PVC,True,9.94,5.99,0.36,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692331/imagens_otimizadas_marketplace/img_temp.jpg"
13297,ENGATE PVC 50 KRONA,3.965,07897801300841,07897801300841,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2023-01-12 05:04:00,39174090,KRONA,0.122,https://cdn.construja.com.br/produtos/13297/13297.jpg,3.0,3.0,3.0,ENGATE PVC,True,10.45,6.09,0.4,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692331/imagens_otimizadas_marketplace/img_temp.jpg"
132185,ENGATE PVC 100 KRONA,9.987,07897801303033,07897801303033,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-03-04 02:45:00,39173300,KRONA,0.202,https://cdn.construja.com.br/produtos/132185/132185.jpg,4.0,4.0,4.0,ENGATE PVC,True,18.73,7.75,1.0,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692332/imagens_otimizadas_marketplace/img_temp.jpg"
14227,"ESPACADOR 5,0MM JUNTALIDER",2.684,07897901800173,07897901800173,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2022-05-13 05:29:00,39259090,JUNTALIDER,0.0896,https://cdn.construja.com.br/produtos/14227/14227.jpg,2.0,6.0,2.0,CIMENTO GESSO REJUNTE ARGAMASSA,True,8.69,5.74,0.27,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692333/imagens_otimizadas_marketplace/img_temp.jpg"
16406,"ESPACADOR 4,0MM JUNTALIDER",2.684,07897901800319,07897901800319,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2022-03-25 03:58:00,39259090,JUNTALIDER,0.07,https://cdn.construja.com.br/produtos/16406/16406.jpg,20.0,6.0,20.0,CIMENTO GESSO REJUNTE ARGAMASSA,True,8.69,5.74,0.27,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692333/imagens_otimizadas_marketplace/img_temp.jpg"
172131,ESPATULA LAMIN C/PLAST 02 THOMPSON,3.778,07898011972071,07898011972071,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-08-27 04:52:00,82055900,THOMPSON,0.036,https://cdn.construja.com.br/produtos/172131/172131.jpg,1.0,4.0,1.0,FERRAMENTAS MANUAIS E ACESSÓRIOS,True,10.19,6.04,0.38,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692334/imagens_otimizadas_marketplace/img_temp.jpg"
179139,TRENA EMBOR 3MX16MM IMA THOMPSON,6.91,07898011972835,07898011972835,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2022-10-21 03:55:00,90178090,THOMPSON,0.102,https://cdn.construja.com.br/produtos/179139/179139.jpg,6.0,3.0,6.0,FERRAMENTAS MANUAIS E ACESSÓRIOS,True,14.5,6.9,0.69,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692334/imagens_otimizadas_marketplace/img_temp.jpg"
179141,"TRENA EMBOR 7,5MX25MM IMA THOMPSON",19.459,07898011972873,07898011972873,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2022-04-12 05:48:00,90178090,THOMPSON,0.268,https://cdn.construja.com.br/produtos/179141/179141.jpg,9.0,4.5,9.0,FERRAMENTAS MANUAIS E ACESSÓRIOS,True,31.76,10.35,1.95,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692334/imagens_otimizadas_marketplace/img_temp.jpg"
199262,PLAFONIER RED PVC SOQ PORC BR THOMPSON,2.724,07898011976840,07898011976840,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2020-06-25 04:10:00,94051099,THOMPSON,0.0825,https://cdn.construja.com.br/produtos/199262/199262.jpg,14.0,4.0,14.0,PLAFONIER,True,8.75,5.75,0.27,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692335/imagens_otimizadas_marketplace/img_temp.jpg"
180173,LAMP GEL/FOGAO/MICRO E27 40X220 THOMPSON,3.19,07898011978363,07898011978363,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-02-21 05:55:00,85392200,THOMPSON,0.02,https://cdn.construja.com.br/produtos/180173/180173.jpg,4.5,7.0,4.5,LÂMPADAS,True,9.39,5.88,0.32,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692336/imagens_otimizadas_marketplace/img_temp.jpg"
180174,LAMP GEL/FOGAO/MICRO E14 15X127 THOMPSON,3.707,07898011978387,07898011978387,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-02-21 05:55:00,85392200,THOMPSON,0.0083,https://cdn.construja.com.br/produtos/180174/180174.jpg,2.0,6.0,2.0,LÂMPADAS,True,10.1,6.02,0.37,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692337/imagens_otimizadas_marketplace/img_temp.jpg"
