Código;classificacao_marketplace;canal_ml;canal_shopee;tipo_envio_ml_sugerido
9966;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01622;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
8336;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01861;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
11406;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00410;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
130417;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02027;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
185120;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01045;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
9964;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
9967;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00644;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
2007;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00056;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
195;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02195;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
7295;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00826;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
159433;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00902;SOMENTE_ML;SIM;NAO;ML_AGENCIA_COLETA
9774;SOMENTE_ML;SIM;NAO;ML_AGENCIA_COLETA
PAI-G02214;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
16436;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01089;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
159389;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
159391;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
159392;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
159393;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
159395;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00809;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180536;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180537;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00810;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
180538;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
2019;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00101;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
256;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01033;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
3199;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
254;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01256;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
125517;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01254;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
125518;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01255;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
125519;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01257;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
125520;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00262;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
125523;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00263;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
125524;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00761;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
190796;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
190798;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00432;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
190824;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02172;FORA_LIMITE;NAO;NAO;FORA_ML
7224;FORA_LIMITE;NAO;NAO;FORA_ML
PAI-G02022;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
12733;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01999;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
270016;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02000;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
13523;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01121;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
135112;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01264;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
17070;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
17067;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
7698;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00471;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
1443;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
2303;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00330;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
1020;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00635;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
1994;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00148;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
323;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01770;FORA_LIMITE;NAO;NAO;FORA_ML
12489;FORA_LIMITE;NAO;NAO;FORA_ML
12492;FORA_LIMITE;NAO;NAO;FORA_ML
PAI-G01051;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
164516;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00439;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
155138;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00453;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
1009245;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01873;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
132149;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
132121;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
132115;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00450;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
13260;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01366;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
13298;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00723;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
132144;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02137;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
7090;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
7080;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00939;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
172132;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
172133;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
172134;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
172135;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01845;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
179170;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01613;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
191627;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00451;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
12033;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01206;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
11730;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01214;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
11825;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00004;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
101461;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02078;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
104313;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01162;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
16403;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
16404;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
16425;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01338;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
190463;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00092;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
190548;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00756;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
190797;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00787;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
318280;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
318299;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G02115;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
370711;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
376396;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01365;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
346918;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
346900;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01371;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
346870;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
346861;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
346888;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00581;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
367133;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
367176;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00214;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
122291;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00215;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
122290;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00217;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
122285;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G01160;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
3531;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00658;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
302651;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00657;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
302643;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
PAI-G00814;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS
