chave,url_cloudinary
local_1_DOBRADICA_ZINC_Q_850X2-24PC_SILVANA.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887131/imagens_otimizadas_marketplace/1_DOBRADICA_ZINC_Q_850X2-24PC_SILVANA.jpg"
local_1_CONECTOR_P__HASTE_1_2-3_4X5_8_SEA.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887131/imagens_otimizadas_marketplace/1_CONECTOR_P__HASTE_1_2-3_4X5_8_SEA.jpg"
local_3_LUVA_P_ELETRODUTO_PVC_PLASTBIG_D_1.1_4.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887131/imagens_otimizadas_marketplace/3_luva_p_eletroduto_pvc_plastbig_d_1.1_4.jpg"
local_1_ABRAC_RSF_BELLOSA_09MM_C_1_2_X5_8_C_100.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887131/imagens_otimizadas_marketplace/1_abrac_rsf_bellosa_09mm_c_1_2_x5_8_c_100.jpg"
local_2_PARAF_A_A_CHATA_PHS_5_5_X_19_JOMARCA.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887131/imagens_otimizadas_marketplace/2_PARAF_A_A_CHATA_PHS_5_5_X_19_JOMARCA.jpg"
local_1_FITA_ANTI-DERRAP_50MMX05M_TEKBOND_PR.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887131/imagens_otimizadas_marketplace/1_fita_anti-derrap_50mmx05m_tekbond_pr.jpg"
local_2_PARAF_CHIPBOARD_CHATA_PHS_3.5_X_30_NEW_F.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887132/imagens_otimizadas_marketplace/2_paraf_chipboard_chata_phs_3.5_x_30_new_f.jpg"
local_3_COLA_INST_20G_793_TEK_BOND.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887132/imagens_otimizadas_marketplace/3_COLA_INST_20G_793_TEK_BOND.jpg"
local_2_LONA_CARRETEIRO_BRASFORT__4X4_AZUL_8973.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887132/imagens_otimizadas_marketplace/2_LONA_CARRETEIRO_BRASFORT__4X4_AZUL_8973.jpg"
local_2_ESMALTE_1_4_SINTET._EUCALAR_MARROM.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887132/imagens_otimizadas_marketplace/2_esmalte_1_4_sintet._eucalar_marrom.jpg"
local_2_LAMP_LED_ALTA_POT_20W-1600LM_6500K_AVANT.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887132/imagens_otimizadas_marketplace/2_LAMP_LED_ALTA_POT_20W-1600LM_6500K_AVANT.jpg"
local_2_ARCO_SERRA_RAYCO_FIXO_12147.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887132/imagens_otimizadas_marketplace/2_arco_serra_rayco_fixo_12147.jpg"
local_2_SILICONE_SPRAY_MUNDIAL_300ML.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887132/imagens_otimizadas_marketplace/2_silicone_spray_mundial_300ml.jpg"
local_3_TUBO_LIGACAO_HIDROLAR_MET_CR_AJU_30CM.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887132/imagens_otimizadas_marketplace/3_tubo_ligacao_hidrolar_met_cr_aju_30cm.jpg"
local_1_DISCO_CORTE_INOX_41_2X1_0X7_8_CORTAG.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887132/imagens_otimizadas_marketplace/1_DISCO_CORTE_INOX_41_2X1_0X7_8_CORTAG.jpg"
local_3_CHAVE_COMBINADA_TRAMONTINA_11.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887132/imagens_otimizadas_marketplace/3_chave_combinada_tramontina_11.jpg"
local_3_ARRUELA_LISA_ZINC_C_1_4_CMK.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887133/imagens_otimizadas_marketplace/3_arruela_lisa_zinc_c_1_4_cmk.jpg"
local_3_SENSOR_PRES.EXATRON_C_SOQ.E-27_XC_BIV.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887133/imagens_otimizadas_marketplace/3_sensor_pres.exatron_c_soq.e-27_xc_biv.jpg"
local_3_TRENA_STANDARD_5MX19MM_IRWIN.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887133/imagens_otimizadas_marketplace/3_TRENA_STANDARD_5MX19MM_IRWIN.jpg"
local_1_RESINA_B.AGUA_1_4_INCOLOR_HYDRONORTH.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887133/imagens_otimizadas_marketplace/1_RESINA_B.AGUA_1_4_INCOLOR_HYDRONORTH.jpg"
local_2_REGI_ESFERA_HIGIBAN_PVC_SOLDAVEL_25MM_LL.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887133/imagens_otimizadas_marketplace/2_regi_esfera_higiban_pvc_soldavel_25mm_ll.jpg"
local_1_PARAF_CHIPBOARD_CHATA_PHS_5.0_X_40_NEW_F.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887133/imagens_otimizadas_marketplace/1_paraf_chipboard_chata_phs_5.0_x_40_new_f.jpg"
local_1_ARRUELA_LISA_ZINC_D_1_4_GWS.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887133/imagens_otimizadas_marketplace/1_arruela_lisa_zinc_d_1_4_gws.jpg"
local_3_REJUNTE__QUARTZOLIT_1KG_TABACO.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887133/imagens_otimizadas_marketplace/3_rejunte__quartzolit_1kg_tabaco.jpg"
local_1_TINTA_ACR_ECON_3_6L_BRANCO_EUCALAR.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887133/imagens_otimizadas_marketplace/1_TINTA_ACR_ECON_3_6L_BRANCO_EUCALAR.jpg"
local_1_PREGO_POLIDO_GERDAU_C_C_17_X_24.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887133/imagens_otimizadas_marketplace/1_prego_polido_gerdau_c_c_17_x_24.jpg"
local_2_PULVERIZADOR_BOMBA_FLITS_FERTAK.jpg,"https://res.cloudinary.com/df1gquwl9/image/upload/f_auto,q_auto/v1764887134/imagens_otimizadas_marketplace/2_PULVERIZADOR_BOMBA_FLITS_FERTAK.jpg"
