arquivo_final,url
1_disco_corte_itambe_ferro_a_4_38x20m_2t.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560069/produtos/1_disco_corte_itambe_ferro_a_4_38x20m_2t.jpg
1_paraf_chipboard_chata_phs_4_5_x_45_4844.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560069/produtos/1_paraf_chipboard_chata_phs_4_5_x_45_4844.jpg
1_alic_corte_diag_6_fx_ac_foxlux.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560069/produtos/1_alic_corte_diag_6_fx_ac_foxlux.jpg
1_paraf_chipboard_chata_phs_5_0_x_50_3153.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560069/produtos/1_paraf_chipboard_chata_phs_5_0_x_50_3153.jpg
1_pino_adap_2p_t_robusto_ilumi_20a_br14360.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560069/produtos/1_pino_adap_2p_t_robusto_ilumi_20a_br14360.jpg
1_esp_tramontina_lux_4x2_3int_57105007.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560069/produtos/1_esp_tramontina_lux_4x2_3int_57105007.jpg
1_barra_rosq_natibi_1mt_zinc_c_38__nc_.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560070/produtos/1_barra_rosq_natibi_1mt_zinc_c_38__nc_.jpg
1_barra_rosq_natibi_1mt_zinc_f_12__ww_.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560069/produtos/1_barra_rosq_natibi_1mt_zinc_f_12__ww_.jpg
1_cj_ilum_safira_2int_sim_tom2p_t10a_22210.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560069/produtos/1_cj_ilum_safira_2int_sim_tom2p_t10a_22210.jpg
1_cabo_ferra_martelo_madeirite_54_cm_leve.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560070/produtos/1_cabo_ferra_martelo_madeirite_54_cm_leve.jpg
1_paraf_chipboard_chata_phs_3_5_x_22_3122.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560070/produtos/1_paraf_chipboard_chata_phs_3_5_x_22_3122.jpg
1_juncao_esgoto_plastilit_100_x_50_br.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560070/produtos/1_juncao_esgoto_plastilit_100_x_50_br.jpg
1_torn_b_m_cfiltro_acquabios_pt_quadriset.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560070/produtos/1_torn_b_m_cfiltro_acquabios_pt_quadriset.jpg
1_torn_alpha_pia_par_gourmet_1168_flex_pt.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560070/produtos/1_torn_alpha_pia_par_gourmet_1168_flex_pt.jpg
1_cinto_segur_paraqued_c2ponto_xg_delta.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560070/produtos/1_cinto_segur_paraqued_c2ponto_xg_delta.jpg
1_serra_circ_widea_hammer_4_38x36x20.jpg,https://res.cloudinary.com/df1gquwl9/image/upload/v1765560070/produtos/1_serra_circ_widea_hammer_4_38x36x20.jpg
