ID,Código,Descrição,classificacao_marketplace,canal_ml,canal_shopee,tipo_envio_ml_sugerido,necessitaMontagem,produtoPersonalizado
16646323552,388570,Tamanho:10,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339443,PAI-G00068,ALICATE BOMBA D AGUA FERTAK,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339519,402200,Modelo:10 1015,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323493,PAI-G00069,ALICATE CORTE DIAGONAL EDA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323570,335894,Tamanho:6;Variação:8VN,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323472,PAI-G00071,ALICATE CORTE DIAGONAL PVC PRO,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323543,180374,Tamanho:41/4,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646320414,PAI-G00072,ALICATE CORTE TRAMONTINA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646320500,218,Tamanho:6,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646340084,PAI-G00074,ALICATE ELETRICISTA PRO FERJA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646340178,190364,Variação:8,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325767,PAI-G00075,ALICATE NIVELADOR CORTAG,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325851,181138,Tipo:PAREDE,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646325848,109439,Tipo:PISO,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339293,PAI-G00077,ALICATE PARA PISO DEPLAST,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339380,331147,Cor:Azul;Tipo:P/ Nivelamento,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339732,PAI-G00078,ALICATE PRESSAO CURVO,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339797,119983,Tamanho:10,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323341,PAI-G00079,ALICATE PRESSAO EDA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323422,345890,Tamanho:10,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339729,PAI-G00080,ALICATE PRESSAO MTX,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339795,199900,Tamanho:9;Variação:LONGO RETO,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323490,PAI-G00081,ALICATE REBIT EDA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323566,335924,Tipo:COM 4 BICOS;Variação:8VJ,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339429,PAI-G00082,ALICATE REBIT FERTAK,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339491,396780,Tipo:4 BICOS;Modelo:1009,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331588,PAI-G00083,ALICATE REBIT FOXLUX,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331725,18018,"Medida:9,5;Variação:4 BICOS",VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323167,PAI-G00084,ALICATE REBIT VONDER,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323233,175625,Variação:4 BICOS;Modelo:R 244,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646340061,PAI-G00085,ALICATE UNIVERSAL PRO FERJA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646340119,190135,Tipo:ALICATE UNIVERSAL,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323340,PAI-G00086,ALICATE UNIVERSAL EDA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323421,180201,Tamanho:8,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323568,180202,Tamanho:8;Variação:8VL,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646342689,PAI-G00087,ALICATE UNIVERSAL FERJA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339418,PAI-G00088,ALICATE UNIVERSAL FERTAK,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646339480,402220,Modelo:8 1001,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646319436,PAI-G00089,ALICATE UNIVERSAL TRAMONTINA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646319510,240,Tamanho:8,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646320495,165565,Tamanho:8;Material:PVC,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331567,PAI-G00090,AMPERIMETRO DIGITAL BRASFORT,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331661,311170,Tipo:DIGITAL;Modelo:8559,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646320116,PAI-G00091,ANEL BORRACHA AMANCO,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646416099,15821,Medida:100MM,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646416032,15818,Medida:38/40MM,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646322764,15819,Medida:50MM,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646416049,15820,Medida:75MM,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646319888,PAI-G00092,ANEL BORRACHA FERJA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646421817,190551,Medida:100mm;Material:Borracha,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646421828,190552,Medida:150mm;Material:Borracha,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646319942,190548,Medida:40MM,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646421808,190550,Medida:75mm;Material:Borracha,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
